region,state,district,year,rainfall_mm,groundwater_level_m,water_extraction_mcm,water_recharge_mcm,population,water_demand_mld,water_supply_mld,scarcity_index
South,Tamil Nadu,District_86,2013,837.69,29.19,198.05,174.96,1330573,85.56,79.27,0.0726
South,Karnataka,District_69,2005,983.37,9.78,304.04,266.33,694418,102.38,107.31,-0.0477
East,West Bengal,District_98,2001,418.53,39,90.91,114.9,2805416,320.67,297.8,0.0711
North,Punjab,District_57,2006,635.49,5.64,82.55,112.36,2852981,116.82,139.09,-0.189
East,Assam,District_90,2009,1544.82,17.1,294.15,247.19,195553,32.13,23.03,0.2746
South,Karnataka,District_58,2000,1093.65,38.43,269.99,249.01,479071,40.69,33.99,0.1609
West,Rajasthan,District_103,2010,1260.12,12.62,346.42,300.9,1579718,75.75,61.63,0.184
West,Gujarat,District_18,2008,353.3,7.79,272,286.59,219615,47.17,6.35,0.8474
South,Telangana,District_131,2012,821.74,24.76,309.99,272.43,3197993,428.65,410.31,0.0427
Central,Chhattisgarh,District_85,2000,543.26,28.91,199.51,158.71,149055,17.8,17.46,0.0179
East,West Bengal,District_67,2005,1295.93,29.48,293.15,280.08,2258541,219.93,202.98,0.0767
North,Uttarakhand,District_68,2001,974.77,13.18,67.08,27.47,3286069,131.58,147.67,-0.1214
East,West Bengal,District_112,2011,1149.1,20.43,330.45,354.85,3005893,309.99,282.45,0.0886
East,Odisha,District_112,2019,757.24,32.12,313.37,264.64,3001249,169.59,174.36,-0.028
North,Haryana,District_30,2012,204.31,27.08,272.36,302.09,2222148,230.73,239.19,-0.0365
North,Uttarakhand,District_49,2008,618.84,4.02,65.18,16.17,181472,10.83,11.46,-0.053
West,Maharashtra,District_112,2000,685.02,7.97,337.36,303.52,846460,47.48,46.16,0.0272
North,Haryana,District_138,2021,1546.72,10.02,347.44,358.91,1513771,288.84,301.55,-0.0438
West,Rajasthan,District_94,2013,714.11,41.87,94.9,121.14,1310160,104.4,120.42,-0.152
East,Bihar,District_85,2019,721.53,4.78,341.04,300.34,91898,13.56,4.18,0.6442
East,Odisha,District_32,2023,1232.92,14.49,209.42,200.13,1054504,71.39,40.2,0.4308
South,Andhra Pradesh,District_130,2009,702.54,27.77,231.95,215.55,2877689,352.05,352.71,-0.0019
East,Jharkhand,District_84,2012,702.99,15.1,198.24,224.69,2725241,531.92,501.21,0.0576
South,Andhra Pradesh,District_142,2004,1084.39,6.18,178.45,178.64,1740690,296.29,289.1,0.0242
West,Rajasthan,District_108,2021,1462.86,5.89,123.85,99.19,1150564,222.31,215.17,0.032
South,Kerala,District_45,2019,1607.54,41.58,160.86,136.62,1313266,256.89,231.84,0.0971
North,Uttarakhand,District_78,2012,751.36,27.02,311.77,322.14,505042,99.05,75.92,0.2312
Central,Chhattisgarh,District_1,2009,1040.68,34.65,239.4,209.18,1741470,346.02,303.92,0.1213
South,Andhra Pradesh,District_54,2013,1140.08,24.34,314.93,344.52,2639159,264.76,239,0.0969
North,Uttarakhand,District_83,2014,1003.23,41.94,207.17,236.65,503972,76.12,32.53,0.5652
East,Assam,District_114,2021,789.87,32.33,135.34,114.62,1389572,250.64,272.62,-0.0873
West,Rajasthan,District_131,2015,969.83,48.22,159.14,138.53,1679221,294.98,265.82,0.0985
South,Tamil Nadu,District_22,2009,1341.69,10.34,283.55,237.76,1569623,262.87,287.82,-0.0946
North,Haryana,District_86,2002,393.21,31.8,73.27,33.54,1178950,252.76,226.54,0.1033
South,Karnataka,District_80,2007,1170.2,8.24,279.9,307.93,2760226,518.57,520.68,-0.0041
West,Rajasthan,District_38,2000,741.05,2.05,106.09,98.61,1733224,101.21,67.15,0.3333
West,Maharashtra,District_63,2015,1104.74,27.3,299.52,305.65,459191,25.18,4.14,0.8037
North,Himachal Pradesh,District_19,2014,541.51,47.64,103.81,99.22,1116844,227.52,193.22,0.1501
East,Jharkhand,District_148,2006,1144.29,48.3,280.43,275.04,1855634,210.95,173.89,0.1748
South,Kerala,District_127,2012,700.96,3.49,248.98,249.5,446374,55.74,45,0.1893
South,Karnataka,District_38,2020,712.65,9.64,119.07,141.78,1465503,261.98,228.62,0.1268
North,Uttar Pradesh,District_28,2013,1079.96,8.3,69.43,25.76,1902106,139.58,134.92,0.0331
South,Karnataka,District_46,2022,1272.16,2.06,233.51,214.93,2032107,238.68,253.64,-0.0624
North,Haryana,District_119,2001,692.57,29.93,138.01,104.2,3415074,741.7,760.48,-0.0253
Central,Chhattisgarh,District_64,2003,896,24.3,257.33,255.69,403590,59.73,67.86,-0.1338
East,Assam,District_35,2014,1120.02,39.43,71.49,63.05,1896175,125.65,147.94,-0.176
North,Haryana,District_144,2019,1019.13,29.4,65.33,56.74,1684211,280.33,268.35,0.0426
East,Odisha,District_114,2019,654.63,18.83,69.63,93.34,1900077,186.16,142.85,0.2314
North,Haryana,District_110,2017,910.54,11.64,261.03,225.31,736001,51.63,73.79,-0.421
East,Assam,District_41,2023,1291.82,3.52,331.5,357.34,1220663,114.49,74.35,0.3476
North,Punjab,District_116,2008,1158.9,47.47,241.34,208.66,1612690,205.12,185.56,0.0949
South,Karnataka,District_71,2016,1503.65,39.62,199.46,226.2,634369,75.46,51.1,0.3186
North,Punjab,District_62,2008,1228.23,30.48,248.59,240.24,2195338,174.44,131.25,0.2462
East,Assam,District_20,2022,611.16,39.91,251.03,241.17,2918633,127.7,108.71,0.1476
South,Andhra Pradesh,District_61,2008,751.8,17.95,217.32,207.86,2041395,154.98,133.96,0.1347
East,Odisha,District_82,2017,827.93,43.68,270.88,241.46,2972715,455.35,430.2,0.0551
East,Bihar,District_36,2004,432.8,38.85,206.41,192.94,1406538,202.77,199.87,0.0142
South,Karnataka,District_99,2022,870.49,43.92,321.2,317.47,1993281,435.7,444.41,-0.0199
Central,Madhya Pradesh,District_55,2002,1398.63,19.24,171.32,164.05,275116,47.31,67.44,-0.4167
East,Jharkhand,District_105,2010,1038.33,10.62,128.89,81.18,1358862,155.38,180.19,-0.1587
Central,Chhattisgarh,District_120,2013,972.99,22.98,88.24,85.84,637605,84.59,87.65,-0.0357
West,Maharashtra,District_53,2013,576.44,20.77,341.13,350.48,2105212,87.63,73.5,0.1594
South,Kerala,District_150,2022,989.38,30.74,175.03,186.07,1299382,107.18,131.67,-0.2264
North,Uttar Pradesh,District_148,2012,921.51,18.18,300.38,295.91,2881451,420.17,379.03,0.0977
North,Punjab,District_2,2011,540.76,14.12,164.18,163.83,313090,54.02,34.24,0.3596
South,Andhra Pradesh,District_100,2013,1240.06,40.67,229.75,190.29,3292419,451.66,479.1,-0.0606
Central,Chhattisgarh,District_140,2019,874.93,49.36,95.66,107.17,1222068,189.67,202.81,-0.069
South,Karnataka,District_125,2007,953.46,35.03,175.24,166.85,1822610,74.53,33.14,0.548
West,Gujarat,District_112,2015,649.52,32.68,311.7,305.32,1070146,136.97,116.96,0.1451
North,Uttar Pradesh,District_100,2010,1210.29,11.69,255.3,207.7,662296,113.62,131.9,-0.1596
South,Kerala,District_43,2014,608.83,13.26,339.37,348.95,2160472,412.35,371.5,0.0988
Central,Madhya Pradesh,District_137,2000,891.35,31.66,311.98,296.33,503011,30.36,0.7,0.9458
South,Kerala,District_145,2021,1460.95,46.1,234.18,188.91,2879781,319.36,300.51,0.0588
North,Uttar Pradesh,District_22,2020,984.74,49.97,73.98,25.81,2840896,621.59,595.16,0.0425
East,Jharkhand,District_35,2014,688.8,6.34,143.72,164.99,534777,60.29,65.77,-0.0893
South,Tamil Nadu,District_13,2008,1193.14,38.59,291.37,286.52,1953762,210.27,218,-0.0366
South,Kerala,District_84,2006,1059.59,33.16,155.23,134.81,1976977,220.06,197.9,0.1002
East,Assam,District_84,2010,622.41,13.4,168.24,180.06,649122,96.47,76.36,0.2064
South,Kerala,District_72,2013,297.05,31.74,194.41,194.03,240049,50.71,17.18,0.6485
West,Gujarat,District_21,2015,443.41,24.88,174.37,160.41,3373509,571.01,529.34,0.0728
North,Uttar Pradesh,District_139,2001,947.87,2.88,116.78,146.17,74182,3.92,-37.68,8.4568
South,Telangana,District_58,2020,567.72,11.46,198.96,213.4,1372133,174.89,185.63,-0.0611
East,Bihar,District_11,2000,1328.61,15.67,149.11,114.87,439226,63.5,86.78,-0.3609
South,Karnataka,District_52,2000,699.28,48.88,298.72,286.92,769950,125.19,141.59,-0.1299
North,Himachal Pradesh,District_40,2007,1336.43,27.21,265.62,287.07,2841684,244.9,202.68,0.1717
Central,Madhya Pradesh,District_122,2021,1291.28,28.41,72.59,51.94,1009170,40.84,22.99,0.4266
East,West Bengal,District_145,2006,878.96,26.73,232.13,198.63,536998,80.54,79.71,0.0101
East,Assam,District_66,2011,551.72,39.47,139.69,103.88,2275134,364.38,387.22,-0.0625
South,Tamil Nadu,District_30,2005,705.99,31.95,191.01,174.08,210246,17.31,-17.88,1.9219
South,Andhra Pradesh,District_28,2018,1591.05,10.57,150.56,162.14,579678,80.23,92.83,-0.1552
North,Uttar Pradesh,District_80,2018,370.19,20.76,232.4,222.66,2080153,186,171.22,0.079
South,Kerala,District_102,2022,727.01,23.4,270.11,298.84,1173423,74.06,96.25,-0.2957
West,Rajasthan,District_20,2018,1431.02,36.77,227.73,235.8,1379973,121,102.6,0.1508
South,Karnataka,District_27,2022,443.18,19.61,159.63,140.26,131492,17.55,42.47,-1.3442
South,Andhra Pradesh,District_31,2018,1342.67,40.42,127.78,114.58,857981,125.87,104.86,0.1656
West,Maharashtra,District_89,2017,830.98,11.14,75.18,74.9,2761981,387.78,362.99,0.0638
East,Jharkhand,District_95,2002,469.35,24.33,77.44,62.46,2566331,546.88,529.26,0.0322
North,Haryana,District_88,2000,710.72,21.65,182.58,146.84,1132195,116.12,96.25,0.1696
East,Jharkhand,District_126,2003,1046.38,40.18,328.88,340.11,2299146,155.04,110.61,0.2848
East,Jharkhand,District_93,2020,920.44,42.42,211.08,191.19,1119849,203.61,168.76,0.1703
East,Assam,District_40,2013,1118.42,31.21,206.98,224.24,2630804,122.36,129.62,-0.0589
South,Tamil Nadu,District_134,2020,679.92,6.21,331.72,317.41,404954,45.13,41.59,0.0767
West,Gujarat,District_138,2015,527.25,30.83,209.55,166,1598246,349.36,315.5,0.0966
East,Assam,District_112,2023,922.91,20.27,314.61,275.17,1137437,74.42,88.52,-0.187
North,Uttarakhand,District_69,2010,872.31,41.3,153.53,181.7,2037234,336.33,340.37,-0.012
South,Karnataka,District_23,2008,914.15,41.48,98.43,59.47,3166629,206.01,168.64,0.1805
East,Assam,District_63,2014,947.74,41.81,152.08,105.86,38429,2.55,4.98,-0.686
North,Uttarakhand,District_98,2010,1042.17,22.76,150.43,139.94,266537,23.99,-9.87,1.355
North,Uttar Pradesh,District_127,2010,915.12,2.02,65.13,46.93,2336046,157.37,182.77,-0.1604
South,Tamil Nadu,District_125,2006,840.24,4.79,348.51,373.89,3018447,282.3,280.02,0.008
South,Telangana,District_67,2010,1317.4,10.19,81.64,49.03,3188869,185.55,163.64,0.1175
West,Gujarat,District_71,2017,904.39,49.84,296.05,276.83,2547147,181.55,162.37,0.1051
North,Uttar Pradesh,District_133,2006,695.96,42.7,270.05,236.68,2169174,262.39,277.79,-0.0585
East,Bihar,District_62,2023,572.37,41.72,272.75,241.2,1256597,106.49,126.45,-0.1857
East,Jharkhand,District_126,2017,395.45,22.09,289.2,272.63,1349742,87.3,77.15,0.1149
South,Karnataka,District_122,2020,621.65,28.3,191.77,154.22,1846094,123.44,143.9,-0.1644
North,Punjab,District_115,2000,891.34,43.5,130.61,108.47,612218,65.91,66.33,-0.0062
East,Bihar,District_76,2007,1311.93,44.82,337.05,304.09,1940544,317.99,315.17,0.0088
South,Kerala,District_63,2009,841.39,14.22,303.85,330.78,1710675,308.97,277.08,0.1029
North,Uttarakhand,District_95,2015,219.12,23.61,125.82,84.67,1837550,244.97,263.71,-0.0762
Central,Chhattisgarh,District_136,2011,872.75,37.4,208.54,184.13,2837988,132.94,106.98,0.1939
East,Jharkhand,District_141,2010,1206.06,7.06,70.32,59.63,3074513,378.63,334.26,0.1169
South,Telangana,District_117,2008,1061.1,48.6,333.27,300.56,1514698,108.06,130.68,-0.2074
South,Andhra Pradesh,District_65,2007,1232,14.72,66.07,89.5,386931,78.08,49.4,0.3627
East,West Bengal,District_50,2010,1101.31,12.94,343.04,319.65,2858586,176.8,160.68,0.0907
East,West Bengal,District_138,2022,1079.67,27.45,72.17,24.69,1018171,94.39,50.89,0.456
South,Tamil Nadu,District_50,2006,1242.9,30.89,228.9,199.06,1073079,162,180.25,-0.112
North,Punjab,District_71,2023,667.87,20.05,219.53,218.43,2582793,541.75,553.7,-0.022
North,Uttarakhand,District_135,2019,956.48,7.83,117.27,76.31,1316367,287.8,267.44,0.0705
South,Andhra Pradesh,District_26,2006,1108.93,14.4,217.76,196.88,1562261,192,158.85,0.1718
South,Andhra Pradesh,District_59,2011,799.15,36.97,285.17,262.68,2896738,282.75,256.26,0.0934
South,Tamil Nadu,District_78,2000,982.47,36.94,91.3,66.48,332875,62.31,76.3,-0.2209
Central,Chhattisgarh,District_33,2008,419.1,26.28,303.8,275.18,1067330,188.36,162.6,0.136
West,Maharashtra,District_14,2017,659.53,9.28,87.19,71.02,810928,143.54,161.53,-0.1245
South,Andhra Pradesh,District_33,2020,968.31,24.15,62.71,72.97,2555034,558.34,580.9,-0.0403
North,Punjab,District_27,2000,1260.64,11.79,220.97,192.33,3240830,488.38,466.79,0.0441
North,Uttarakhand,District_73,2015,781.61,20.01,216.22,204.29,1696641,300.27,327.62,-0.0908
North,Punjab,District_113,2010,680.23,47.99,166.7,170.55,1950090,373.55,368.27,0.0141
South,Tamil Nadu,District_14,2008,1081.52,26.1,96.17,95.34,3395355,577.12,540.65,0.0631
North,Punjab,District_30,2002,424.32,21.81,261.73,291.47,1942205,136.03,152.43,-0.1197
